Exercise,Set,Reps,Weight,Date,Time
Machine Cable Crunches,1,6,45.0,2025-11-03,13:11:23
Machine Cable Crunches,2,5,45.0,2025-11-03,13:11:23
Wrist Cable Curls,1,8,25.0,2025-11-03,13:11:23
