Name,Primary muscle,Secondary muscle,Weight Multiplier,Sets,Reps,Weight,1rm,Date,Score
Leg Press Machine,Legs,Legs,1.0,"[(10, 150.0), (8, 150.0), (8, 150.0)]",26,3900.0,150.0,2025-10-30,-1
Calf Press,Legs,Legs,1.0,"[(15, 150.0), (13, 150.0)]",28,4200.0,150.0,2025-10-30,-1
Leg Extensions,Legs,Legs,1.0,"[(12, 75.0), (7, 80.0)]",19,1460.0,80.0,2025-10-30,-1
Machine Cable Crunches,Abs,Abs,1.0,"[(6, 45.0), (6, 35.0)]",12,480.0,45.0,2025-10-30,-1
