Name,Primary muscle,Weight Multiplier,Sets,Reps,Weight,1rm,Date
Cable Flies,Chest,1.0,"[(12, 50.0), (10, 50.0), (8, 50.0)]",30,1500.0,50.0,2025-10-27
Incline Dumbbell Bench,Chest,2.0,"[(8, 25.0), (7, 25.0), (5, 25.0)]",20,1000.0,25.0,2025-10-27
