Name,Primary muscle,Secondary muscle,Weight Multiplier,Sets,Reps,Weight,1rm,Date,Score
Cable Flies,Chest,Chest,1.0,"[(8, 17.5)]",8,140.0,17.5,2025-10-30,1
Lat Pulldown,Back,Biceps,1.0,"[(5, 70.0), (5, 70.0)]",10,700.0,70.0,2025-10-30,1
Seated Dumbbell Bicep Curls,Biceps,Biceps,2.0,[],0,0,0,2025-10-30,1
Single Arm Cable Curl,Biceps,Biceps,1,"[(7, 15.0), (6, 15.0)]",13,195.0,15.0,2025-10-30,1
Triceps Pushdowns,Triceps,Triceps,1.0,"[(5, 35.0), (7, 32.5), (12, 27.5)]",24,732.5,35.0,2025-10-30,1
Lateral Raises (Cable),Shoulders,Shoulders,1.0,"[(5, 7.5), (5, 5.0), (11, 5.0)]",21,117.5,7.5,2025-10-30,1
Low Row Machine,Back,Biceps,1.0,"[(1, 105.0), (4, 85.0)]",5,445.0,105.0,2025-10-30,1
Cable Bicep Curls,Biceps,Biceps,1.0,"[(12, 27.5), (4, 15.0)]",16,390.0,27.5,2025-10-30,1
