Name,Primary muscle,Secondary muscle,Weight Multiplier,Sets,Reps,Weight,1rm,Date,Score
Pullups,Back,Biceps,1.0,"[(5, 73.0), (4, 73.0)]",9,657.0,73.0,2025-10-30,-1
Cable Rows,Back,Biceps,1.0,"[(6, 85.0), (6, 80.0), (4, 80.0), (4, 60.0)]",20,1550.0,85.0,2025-10-30,-1
Seated Dumbbell Bicep Curls,Biceps,Biceps,2.0,"[(6, 15.0)]",6,180.0,15.0,2025-10-30,-1
Chest Supported Incline Row Dumbbell,Back,Biceps,1,"[(10, 15.0), (6, 20.0)]",16,270.0,20.0,2025-10-30,-1
Cable Bicep Curls,Biceps,Biceps,1.0,"[(7, 30.0), (5, 30.0), (6, 20.0)]",18,480.0,30.0,2025-10-30,-1
Wrist Cable Curls,Forearms,Forearms,1.0,"[(20, 22.5)]",20,450.0,22.5,2025-10-30,-1
Reverse Cable Flies,Shoulders,Shoulders,1.0,"[(13, 5.0), (9, 5.0)]",22,110.0,5.0,2025-10-30,-1
