Name,Primary muscle,Secondary muscle,Weight Multiplier,Sets,Reps,Weight,1rm,Date,Score
Incline Dumbbell Bench,Chest,Triceps,2.0,"[(5, 27.5), (5, 25.0), (7, 20.0)]",17,805.0,27.5,2025-10-30,-1
Lateral Raises (Cable),Shoulders,Shoulders,1.0,"[(7, 7.5), (11, 5.0)]",18,107.5,7.5,2025-10-30,-1
Dumbbell Shoulder Press,Shoulders,Triceps,2.0,"[(8, 17.5), (7, 17.5)]",15,525.0,17.5,2025-10-30,-1
Cable Flies,Chest,Chest,1.0,"[(6, 20.0), (5, 20.0)]",11,220.0,20.0,2025-10-30,-1
Triceps Pushdowns,Triceps,Triceps,1.0,"[(4, 35.0), (3, 30.0)]",7,230.0,35.0,2025-10-30,-1
